split_name,family,target,score_method,coverage_target,actual_coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2,model_family
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D,0.7,0.7005208333333334,807,4.222485142668315,4.796448583968284,39.240250412906285,37.5701181284234,57.69666720762547,60.64966696490839,4.222485142668315,-2.4116755568881465,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_V,0.95,0.9505208333333334,1095,4.33998255570776,4.900735734823216,39.90552535740072,37.76805055816828,58.454753003704674,61.10399745283894,4.33998255570776,-2.5579696504584417,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_V,0.9,0.9001736111111112,1037,4.35550939038251,4.9247020244707675,39.89856643300237,37.71451762523254,58.61035972432793,61.10399745283894,4.35550939038251,-2.5259560957229974,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_V,0.8,0.8003472222222222,922,4.287922979081703,4.866311087477177,39.498231562826476,37.54243842681568,58.427394809103184,60.64966696490839,4.287922979081703,-2.4387308253374282,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_V,0.7,0.7005208333333334,807,4.222485142668315,4.796448583968284,39.240250412906285,37.5701181284234,57.69666720762547,60.64966696490839,4.222485142668315,-2.4116755568881465,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,D_plus_V,0.95,0.9505208333333334,1095,4.357391735875186,4.923426305423399,40.08304564312104,37.98906366263423,58.49635443305044,61.10399745283894,4.357391735875186,-2.597863189228756,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,D_plus_V,0.9,0.9001736111111112,1037,4.385421237399547,4.965330303612009,40.3094253502938,38.212712569380805,58.61035972432793,61.10399745283894,4.385421237399547,-2.558263651955825,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,D_plus_V,0.8,0.8003472222222222,922,4.479935166005061,5.02187972383399,41.211632455775096,41.615490795171134,58.77490462060167,61.10399745283894,4.479935166005061,-2.748424601081699,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,D_plus_V,0.7,0.7005208333333334,807,4.521640617633208,5.082247907880956,41.2943680152152,41.6051168134806,58.93275149311031,61.10399745283894,4.521640617633208,-2.6334437129757795,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D_plus_V,0.95,0.9505208333333334,1095,4.33998255570776,4.900735734823216,39.90552535740072,37.76805055816828,58.454753003704674,61.10399745283894,4.33998255570776,-2.5579696504584417,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D_plus_V,0.9,0.9001736111111112,1037,4.35550939038251,4.9247020244707675,39.89856643300237,37.71451762523254,58.61035972432793,61.10399745283894,4.35550939038251,-2.5259560957229974,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D_plus_V,0.8,0.8003472222222222,922,4.287922979081703,4.866311087477177,39.498231562826476,37.54243842681568,58.427394809103184,60.64966696490839,4.287922979081703,-2.4387308253374282,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_plus_D_plus_V,0.7,0.7005208333333334,807,4.222485142668315,4.796448583968284,39.240250412906285,37.5701181284234,57.69666720762547,60.64966696490839,4.222485142668315,-2.4116755568881465,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_2D_plus_V,0.95,0.9505208333333334,1095,4.33998255570776,4.900735734823216,39.90552535740072,37.76805055816828,58.454753003704674,61.10399745283894,4.33998255570776,-2.5579696504584417,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_2D_plus_V,0.9,0.9001736111111112,1037,4.35550939038251,4.9247020244707675,39.89856643300237,37.71451762523254,58.61035972432793,61.10399745283894,4.35550939038251,-2.5259560957229974,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_2D_plus_V,0.8,0.8003472222222222,922,4.287922979081703,4.866311087477177,39.498231562826476,37.54243842681568,58.427394809103184,60.64966696490839,4.287922979081703,-2.4387308253374282,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,U_2D_plus_V,0.7,0.7005208333333334,807,4.222485142668315,4.796448583968284,39.240250412906285,37.5701181284234,57.69666720762547,60.64966696490839,4.222485142668315,-2.4116755568881465,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.95,0.9505208333333334,1095,4.357391735875186,4.923426305423399,40.08304564312104,37.98906366263423,58.49635443305044,61.10399745283894,4.357391735875186,-2.597863189228756,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.9,0.9001736111111112,1037,4.385421237399547,4.965330303612009,40.3094253502938,38.212712569380805,58.61035972432793,61.10399745283894,4.385421237399547,-2.558263651955825,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.8,0.8003472222222222,922,4.479935166005061,5.02187972383399,41.211632455775096,41.615490795171134,58.77490462060167,61.10399745283894,4.479935166005061,-2.748424601081699,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.7,0.7005208333333334,807,4.521640617633208,5.082247907880956,41.2943680152152,41.6051168134806,58.93275149311031,61.10399745283894,4.521640617633208,-2.6334437129757795,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,oracle_error_rank,0.95,0.9505208333333334,1095,4.111804932968033,4.629647657206713,38.82827405097072,36.95353852185842,56.74359295945263,58.458151180148285,4.111804932968033,-2.4593836222683803,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,oracle_error_rank,0.9,0.9001736111111112,1037,3.890933408228862,4.35724927283664,37.79524678864923,36.48130889510158,54.45548338414925,56.73486960239327,3.890933408228862,-2.44323916155642,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,oracle_error_rank,0.8,0.8003472222222222,922,3.4755192435647104,3.838256915876703,35.71675107827665,35.27275955238487,51.305058049194315,52.080445258286765,3.4755192435647104,-2.536062234452703,ExtraTrees
