split_name,family,target,score_method,tolerance_pct,failure_rate,failure_AUROC,failure_AUPRC,AURC_MAPE_pct,full_MAE,full_RMSE,full_MAPE_pct,full_R2
holdout_Re100,withheld_reynolds,Nuavg,V_only,5.0,1.0,,,28.59225545363405,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,U_plus_D,5.0,1.0,,,27.64216374466765,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,U_plus_V,5.0,1.0,,,28.33033624021353,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,D_plus_V,5.0,1.0,,,26.515449035611287,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,U_plus_D_plus_V,5.0,1.0,,,27.64216374466765,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,U_2D_plus_V,5.0,1.0,,,27.199481893584746,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,conservative_U_D_V_max,5.0,1.0,,,26.51504326882872,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,oracle_error_rank,5.0,1.0,,,22.57123475698024,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,Nuavg,random_rejection,5.0,1.0,,,27.935812308168966,4.315516132965353,4.873609333454954,27.917541459144594,-0.03638542266490763
holdout_Re100,withheld_reynolds,DelP_Pa,U_only,10.0,1.0,,,76.91957049563263,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,D_only,10.0,1.0,,,76.6788570050654,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,V_only,10.0,1.0,,,76.6005588748669,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,U_plus_D,10.0,1.0,,,76.9065025216669,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,U_plus_V,10.0,1.0,,,76.91957049563263,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,D_plus_V,10.0,1.0,,,76.6788570050654,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,U_plus_D_plus_V,10.0,1.0,,,76.9065025216669,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,U_2D_plus_V,10.0,1.0,,,76.88846270098728,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,conservative_U_D_V_max,10.0,1.0,,,76.68276004195953,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
holdout_Re100,withheld_reynolds,DelP_Pa,oracle_error_rank,10.0,1.0,,,76.06049643634465,98.0938898530083,174.5437409995131,76.77215299759578,0.16771525082759808
